X,Y,dbh_m_f,h_m_f,dbh_m_mls,h_m_mls,cw_m_mls,h_m_tt,ca_m2,MBG_Width,MBG_Length,treeID,cw_avg,cw_pi,icw
754786.3521549999,3389879.06885,0.354126006364,8.60000038147,0.0,0.0,0.0,9.22,77.125,9.4,10.607,80,10.003499999999999,9.909520668917313,9.956510334458656
754726.657984,3389848.69198,0.17463760078,5.40000009537,0.0,0.0,0.0,5.383,13.0,3.8,4.61,86,4.205,4.068428945128219,4.13671447256411
754688.4463319998,3389817.08231,0.257106006146,6.09999990463,0.0,0.0,0.0,6.173,22.625,4.801,6.325,94,5.563000000000001,5.367219457003138,5.465109728501569
754619.4738529999,3389796.08118,0.805274009704,10.8000001907,0.0,0.0,0.0,11.026,146.875,12.606,14.841,100,13.7235,13.675052399642826,13.699276199821412
754633.3891829998,3389814.74115,0.882889986038,13.6999998093,0.0,0.0,0.0,11.733,183.875,14.632,17.868,95,16.25,15.300879755366292,15.775439877683146
754658.43955,3389831.38175,0.630635976792,11.0,0.0,0.0,0.0,9.231,86.375,8.839,12.54,90,10.689499999999999,10.486947395524576,10.588223697762288
754668.503667,3389839.13178,0.679145991802,12.1,0.0,0.0,0.0,10.297,120.75,11.5,13.435,88,12.467500000000001,12.399341717477219,12.43342085873861
754687.711366,3389855.07868,0.844081997872,12.0,0.0,0.0,0.0,11.017,180.125,13.435,17.393,85,15.414000000000001,15.144050745933903,15.279025372966952
754725.1961199999,3389884.10608,0.49480599165,11.1000003815,0.0,0.0,0.0,10.632,73.5,9.153,11.597,78,10.375,9.673836185197393,10.024418092598697
754741.914385,3389896.91482,0.567571997642,11.8,0.0,0.0,0.0,10.786,107.25,10.055,14.089,74,12.072,11.685672474138842,11.878836237069422
754757.824018,3389923.57264,0.485103994608,10.1000003815,0.0,0.0,0.0,11.216,112.875,9.899,16.125,72,13.012,11.988198931114777,12.500099465557389
754755.625342,3389929.46952,0.572423994542,13.3999996185,0.0,0.0,0.0,11.216,112.875,9.899,16.125,72,13.012,11.988198931114777,12.500099465557389
754747.3198809999,3389940.24851,0.52391397953,12.1000003815,0.0,0.0,0.0,10.733,72.5,8.5,11.511,69,10.0055,9.607802401865856,9.806651200932928
754761.4195929999,3389943.88427,0.640338003636,14.1,0.0,0.0,0.0,12.266,183.875,13.132,18.554,67,15.843,15.300879755366292,15.571939877683146
754739.9790819999,3389969.89728,0.70825201273,12.6999998093,0.0,0.0,0.0,11.813,193.5,14.142,18.822,56,16.482,15.696236870863475,16.089118435431736
754727.0607229999,3389964.49815,0.591827988624,9.65,0.0,0.0,0.0,10.845,148.875,12.0,16.621,55,14.3105,13.767844320097732,14.039172160048865
754704.316525,3389996.89548,0.654892027378,11.8999996185,0.0,0.0,0.0,11.231,237.375,16.0,20.616,45,18.308,17.384914061665913,17.84645703083296
754690.2718409998,3390011.99658,0.630635976792,12.3000001907,0.0,0.0,0.0,11.019,161.0,13.462,17.103,43,15.2825,14.317526556719258,14.800013278359629
754694.607792,3390090.80718,0.543308019638,10.6000003815,0.0,0.0,0.0,10.608,183.125,13.0,17.557,34,15.2785,15.269642812771577,15.274071406385788
754721.837792,3390096.30899,0.756763994694,14.5,0.0,0.0,0.0,14.122,320.875,19.0,22.344,33,20.672,20.212638098894843,20.44231904944742
754726.938378,3390101.01662,0.989614009858,15.1,0.0,0.0,0.0,14.122,320.875,19.0,22.344,33,20.672,20.212638098894843,20.44231904944742
754706.586491,3390113.77518,0.572423994542,13.1000003815,0.0,0.0,0.0,11.941,197.25,14.838,17.357,32,16.0975,15.847602348589229,15.972551174294615
754717.065901,3390123.27884,0.664593994618,11.55,0.0,0.0,0.0,12.568,177.875,11.763,19.138,30,15.450500000000002,15.049168881362421,15.249834440681212
754753.833575,3390141.55306,0.722805976868,13.1000003815,0.0,0.0,0.0,12.706,158.5,11.77,18.868,26,15.318999999999999,14.20593072771099,14.762465363855494
754742.8442819999,3390143.97043,0.669444024562,15.3999996185,0.0,0.0,0.0,13.26,308.5,19.0,25.495,25,22.247500000000002,19.819041337834626,21.033270668917314
754758.61649,3390158.97411,0.572423994542,13.6000003815,0.0,0.0,0.0,11.855,141.5,10.8,17.557,24,14.1785,13.422495877444907,13.800497938722454
754776.956596,3390160.21176,0.52391397953,10.6000003815,0.0,0.0,0.0,9.116,121.875,11.645,15.89,23,13.7675,12.456968712917199,13.1122343564586
754784.961033,3390166.10355,0.504508018494,8.89999961853,0.0,0.0,0.0,8.351,154.0,12.944,17.357,21,15.150500000000001,14.002817212590296,14.576658606295148
754798.797334,3390193.58393,0.601530015468,11.3999996185,0.0,0.0,0.0,11.219,192.375,13.368,20.591,15,16.9795,15.650541761179609,16.315020880589806
754803.80416,3390197.84248,0.519061982632,13.1000003815,0.0,0.0,0.0,11.219,192.375,13.368,20.591,15,16.9795,15.650541761179609,16.315020880589806
754832.220339,3390172.44315,0.4365940094,17.1,0.0,0.0,0.0,17.772000000000002,139.5,9.899,16.643,20,13.271,13.327299669871433,13.299149834935717
754827.603172,3390167.72534,0.378381997346,18.2,0.0,0.0,0.0,17.772000000000002,139.5,9.899,16.643,20,13.271,13.327299669871433,13.299149834935717
754826.251428,3390216.09481,0.582126021386,11.3000001907,0.0,0.0,0.0,12.008,198.25,15.5,21.593,13,18.5465,15.887722925068463,17.217111462534234
754836.7004729998,3390211.18428,0.562722027302,13.1000003815,0.0,0.0,0.0,12.008,198.25,15.5,21.593,13,18.5465,15.887722925068463,17.217111462534234
754841.0636129999,3390231.22609,0.553020000458,12.5,0.0,0.0,0.0,10.791,148.875,11.907,16.8,11,14.3535,13.767844320097732,14.060672160048867
754849.756775,3390222.01384,0.446296006442,12.5,0.0,0.0,0.0,10.791,148.875,11.907,16.8,11,14.3535,13.767844320097732,14.060672160048867
754857.481591,3390228.40565,0.640338003636,10.6,0.0,0.0,0.0,11.47,239.5,15.127,26.173,12,20.65,17.462556255144076,19.056278127572035
754860.179796,3390245.82894,0.557869970798,10.3999996185,0.0,0.0,0.0,10.949,236.875,15.5,20.934,8,18.217,17.36659486367842,17.791797431839207
754864.6351619998,3390234.44708,0.533616006374,12.6999998093,0.0,0.0,0.0,11.47,239.5,15.127,26.173,12,20.65,17.462556255144076,19.056278127572035
754875.2930959999,3390250.83875,0.591827988624,11.6000003815,0.0,0.0,0.0,10.949,236.875,15.5,20.934,8,18.217,17.36659486367842,17.791797431839207
754862.508462,3390263.32844,0.460850000382,9.0,0.0,0.0,0.0,10.008,138.125,12.298,15.508,6,13.902999999999999,13.26145588223798,13.58222794111899
754889.910964,3390275.08804,0.533616006374,10.5,0.0,0.0,0.0,11.791,106.0,10.91,13.038,5,11.974,11.617374563210365,11.795687281605183
754870.934752,3390281.17767,0.853784024716,14.45,0.0,0.0,0.0,12.867,174.375,13.115,19.007,4,16.061,14.900374009171514,15.480687004585757
