X,Y,treeID,dbh_cm_f,h_m_f,dbh_cm_mls,h_m_mls,cw_m_mls,h_m_tt,ca_m2,cw_avg_m,cw_pi_m,icw_m,h_m_tls,dbh_cm_tls
754727.0607229999,3389964.49815,55,59.1827988624,9.65,0.0,0.0,0.0,10.845,148.875,14.3105,13.7678443201,14.03917216,7.359752,55.1985054145
754704.316525,3389996.89548,45,65.4892027378,11.8999996185,0.0,0.0,0.0,11.231,237.375,18.308,17.3849140617,17.8464570308,9.6681445,65.5505530106
754690.2718409998,3390011.99658,43,63.0635976792,12.3000001907,0.0,0.0,0.0,11.019,161.0,15.2825,14.3175265567,14.8000132784,8.268711,64.9519052838
754694.607792,3390090.80718,34,54.3308019638,10.6000003815,0.0,0.0,0.0,10.608,183.125,15.2785,15.2696428128,15.2740714064,8.900662,8.83883476483
754721.837792,3390096.30899,33,75.6763994694,14.5,0.0,0.0,0.0,14.122,320.875,20.672,20.2126380989,20.4423190494,0.0,0.0
754726.938378,3390101.01662,33,98.9614009858,15.1,0.0,0.0,0.0,14.122,320.875,20.672,20.2126380989,20.4423190494,0.0,0.0
754706.586491,3390113.77518,32,57.2423994542,13.1000003815,0.0,0.0,0.0,11.941,197.25,16.0975,15.8476023486,15.9725511743,10.6562159,50.775240029
754717.065901,3390123.27884,30,66.45939946179999,11.55,0.0,0.0,0.0,12.568,177.875,15.4505,15.0491688814,15.2498344407,10.75294,64.3476883812
754753.833575,3390141.55306,26,72.2805976868,13.1000003815,0.0,0.0,0.0,12.706,158.5,15.319,14.2059307277,14.7624653639,11.895694,62.5
754742.8442819999,3390143.97043,25,66.94440245620001,15.3999996185,0.0,0.0,0.0,13.26,308.5,22.2475,19.8190413378,21.0332706689,12.832998,69.5970545354
754758.61649,3390158.97411,24,57.2423994542,13.6000003815,0.0,0.0,0.0,11.855,141.5,14.1785,13.4224958774,13.8004979387,10.6688241,58.6301969978
754776.956596,3390160.21176,23,52.391397952999995,10.6000003815,0.0,0.0,0.0,9.116,121.875,13.7675,12.4569687129,13.1122343565,8.5256688,50.0
754784.961033,3390166.10355,21,50.450801849399994,8.89999961853,0.0,0.0,0.0,8.351,154.0,15.1505,14.0028172126,14.5766586063,7.4327168,12.5
754798.797334,3390193.58393,15,60.1530015468,11.3999996185,0.0,0.0,0.0,11.219,192.375,16.9795,15.6505417612,16.3150208806,0.0,0.0
754803.80416,3390197.84248,15,51.9061982632,13.1000003815,0.0,0.0,0.0,11.219,192.375,16.9795,15.6505417612,16.3150208806,0.0,0.0
754832.220339,3390172.44315,20,43.65940094,17.1,0.0,0.0,0.0,17.772,139.5,13.271,13.3272996699,13.2991498349,0.0,0.0
754827.603172,3390167.72534,20,37.838199734599996,18.2,0.0,0.0,0.0,17.772,139.5,13.271,13.3272996699,13.2991498349,0.0,0.0
754826.251428,3390216.09481,13,58.2126021386,11.3000001907,0.0,0.0,0.0,12.008,198.25,18.5465,15.8877229251,17.2171114625,9.184725,72.3489806424
754836.7004729998,3390211.18428,13,56.27220273020001,13.1000003815,0.0,0.0,0.0,12.008,198.25,18.5465,15.8877229251,17.2171114625,11.1905294,60.5959982177
754841.0636129999,3390231.22609,11,55.30200004580001,12.5,0.0,0.0,0.0,10.791,148.875,14.3535,13.7678443201,14.06067216,10.0272072,57.2821961869
754849.756775,3390222.01384,11,44.6296006442,12.5,0.0,0.0,0.0,10.791,148.875,14.3535,13.7678443201,14.06067216,9.686518,47.5985819116
754857.481591,3390228.40565,12,64.03380036360001,10.6,0.0,0.0,0.0,11.47,239.5,20.65,17.4625562551,19.0562781276,8.4690576,67.3145600892
754860.179796,3390245.82894,8,55.7869970798,10.3999996185,0.0,0.0,0.0,10.949,236.875,18.217,17.3665948637,17.7917974318,10.2104222,58.6301969978
754864.6351619998,3390234.44708,12,53.361600637399995,12.6999998093,0.0,0.0,0.0,11.47,239.5,20.65,17.4625562551,19.0562781276,10.0182552,55.9016994375
754875.2930959999,3390250.83875,8,59.1827988624,11.6000003815,0.0,0.0,0.0,10.949,236.875,18.217,17.3665948637,17.7917974318,0.0,0.0
754862.508462,3390263.32844,6,46.0850000382,9.0,0.0,0.0,0.0,10.008,138.125,13.903,13.2614558822,13.5822279411,8.847029,61.8718433538
754889.910964,3390275.08804,5,53.361600637399995,10.5,0.0,0.0,0.0,11.791,106.0,11.974,11.6173745632,11.7956872816,8.6036298,63.737743919900005
754870.934752,3390281.17767,4,85.3784024716,14.45,0.0,0.0,0.0,12.867,174.375,16.061,14.9003740092,15.4806870046,0.0,0.0
