X,Y,dbh_m_f,h_m_f,dbh_m_mls,h_m_mls,cw_m_mls,h_m_tt,ca_m2,MBG_Width,MBG_Length,treeID,cw_avg,cw_pi,icw,OBJECTID,Join_Count,TARGET_FID,Field1,X_1,Y_1,H,DBH
754251.089289000025019,3389061.858539999928325,0.325000000000000,7.700000000000000,0.424000000000000,6.980000000000000,9.000000000000000,7.522000000000000,61.250000000000000,8.321000000000000,9.657000000000000,250,8.989000000000001,8.830963827070001,8.909981913539999,1,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
754219.000144000048749,3389035.233070000074804,0.274000000000000,5.700000000000000,0.360000000000000,5.410000000000000,8.100000000000000,5.528000000000000,43.250000000000000,7.071000000000000,8.515000000000001,258,7.793000000000000,7.420755373260000,7.606877686630000,2,0,1,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
754182.715186999994330,3389005.642459999769926,0.315000000000000,6.200000000000000,0.350000000000000,6.190000000000000,9.600000000000000,6.588000000000000,58.250000000000000,7.647000000000000,9.823000000000000,264,8.734999999999999,8.611980229940000,8.673490114970001,3,0,2,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
754136.122763999970630,3388966.805079999845475,0.307000000000000,7.300000000000000,0.300000000000000,7.220000000000000,8.800000000000001,7.626000000000000,59.875000000000000,8.222000000000000,9.823000000000000,277,9.022500000000001,8.731278127570000,8.876889063789999,4,0,3,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
754077.939157000044361,3388918.526329999789596,0.310000000000000,8.199999999999999,0.360000000000000,7.400000000000000,11.199999999999999,7.747000000000000,81.000000000000000,9.241000000000000,11.180000000000000,284,10.210500000000000,10.155412503899999,10.182956251900000,5,1,4,28,754077.505762999993749,3388917.778659999836236,7.027783800000000,0.364434493428000
754032.060586999985389,3388881.238189999945462,0.277000000000000,6.200000000000000,0.310000000000000,6.100000000000000,7.300000000000000,6.318000000000000,33.875000000000000,6.261000000000000,7.159000000000000,294,6.710000000000000,6.567418791120000,6.638709395560000,6,1,5,34,754030.814083999954164,3388879.035439999774098,6.299817800000000,0.330718913883000
753974.669353000004776,3388851.732629999984056,0.208000000000000,9.199999999999999,0.265000000000000,8.900000000000000,5.700000000000000,9.080000000000000,24.875000000000000,4.950000000000000,6.708000000000000,304,5.829000000000000,5.627773420750000,5.728386710370000,7,0,6,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
754000.953666000044905,3388874.872769999783486,0.150000000000000,6.300000000000000,0.190000000000000,6.750000000000000,3.700000000000000,6.761000000000000,11.750000000000000,3.795000000000000,4.272000000000000,297,4.033500000000000,3.867888913950000,3.950694456970000,8,0,7,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
753940.192522000055760,3388819.455490000080317,0.193000000000000,7.000000000000000,0.285000000000000,6.400000000000000,4.200000000000000,6.620000000000000,11.500000000000000,3.500000000000000,4.528000000000000,315,4.014000000000000,3.826519928660000,3.920259964330000,9,0,8,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
753936.738705000025220,3388801.799939999822527,0.170000000000000,4.500000000000000,0.220000000000000,5.100000000000000,5.600000000000000,5.320000000000000,20.875000000000000,4.802000000000000,6.083000000000000,317,5.442500000000000,5.155470443750000,5.298985221870000,10,0,9,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
