X,Y,treeID,dbh_cm_f,h_m_f,dbh_cm_mls,h_m_mls,cw_m_mls,h_m_tt,ca_m2,cw_avg_m,cw_pi_m,icw_m,h_m_tls,dbh_cm_tls
754213.8202469999,3388990.63422,267,33.0,6.8,37.0,6.7,8.7,6.972,50.625,8.163,8.02855852269,8.09577926134,0.0,0.0
754238.805132,3389010.69562,263,24.099999999999998,5.9,27.500000000000004,6.1,6.5,6.205,33.375,6.791,6.5187705747,6.65488528735,0.0,0.0
754260.634312,3389029.61704,259,27.900000000000002,6.3,34.2,6.2,8.6,6.483,42.75,7.5865,7.37773613905,7.48211806952,5.440741,31.86887196
754272.515149,3389039.47883,257,31.5,6.3,34.4,6.4,9.0,6.631,59.125,8.767,8.67642138687,8.72171069343,5.8030404,35.3553390593
754284.927807,3389048.50184,255,42.699999999999996,7.7,53.0,7.7,11.2,7.878,93.0,10.9955,10.8816946134,10.9385973067,6.9204534,47.5985819116
754298.129954,3389053.77262,253,20.599999999999998,6.5,28.499999999999996,6.0,5.4,6.475,18.625,4.8505,4.86971113319,4.86010556659,0.0,0.0
754292.793679,3389055.00143,252,20.1,6.2,25.2,6.6,5.7,7.038,22.5,5.535,5.35237234846,5.44368617423,0.0,0.0
754319.151867,3389078.00047,245,45.8424001932,7.90000009537,0.0,0.0,0.0,7.356,91.0,10.9285,10.7640512155,10.8462756078,0.0,0.0
754330.605529,3389086.53218,244,32.9872012138,5.90000009537,0.0,0.0,0.0,6.353,52.25,8.319,8.15639419182,8.23769709591,0.0,0.0
754364.169463,3389115.8538,241,53.84659767160001,8.39999961853,0.0,0.0,0.0,8.395,127.25,12.8535,12.7286971866,12.7910985933,6.54551,60.5959982177
754399.552639,3389144.61448,238,33.957400918000005,5.19999980927,0.0,0.0,0.0,6.162,43.875,7.9015,7.47418122775,7.68784061388,0.0,0.0
754411.469086,3389154.18667,237,41.7189985514,7.09999990463,0.0,0.0,0.0,6.954,87.75,10.862,10.5700884599,10.71604423,5.9794786,40.504629365
754465.632251,3389198.93331,233,54.3317973614,10.8999996185,0.0,0.0,0.0,9.353,136.625,14.0695,13.1892514116,13.6293757058,8.8187936,17.677669529699997
754481.1651889998,3389214.44573,230,37.838199734599996,8.39999961853,0.0,0.0,0.0,7.847,242.875,19.227,17.5851657492,18.4060828746,6.9136404,33.0718913883
754534.0178969998,3389238.97618,223,53.361600637399995,10.1000003815,0.0,0.0,0.0,9.626,149.25,13.976,13.7851732688,13.8805866344,8.5739525,52.29125165839999
754538.222057,3389255.71995,222,44.1446006298,9.0,0.0,0.0,0.0,11.5,159.0,15.182,14.2283199153,14.7051599577,7.2131194,45.0693909433
754544.216309,3389262.723,218,56.27220273020001,12.0,0.0,0.0,0.0,10.436,197.375,18.193,15.8526229736,17.0228114868,8.9300985,53.764532919
754842.184747,3389478.1938,214,17.463760078,6.30000019073,0.0,0.0,0.0,6.677,24.5,5.904,5.58519192562,5.74459596281,0.0,0.0
754855.342588,3389491.03829,208,19.4041803479,8.80000019073,0.0,0.0,0.0,8.223,23.375,5.6625,5.4554536345,5.55897681725,7.3944376,19.7642353761
754859.2041119998,3389493.15464,207,21.829800307800003,6.90000009537,0.0,0.0,0.0,7.302,25.625,6.004,5.71198418536,5.85799209268,7.276732,23.3853586673
754859.8048959998,3389500.80784,205,26.195600628799998,9.0,0.0,0.0,0.0,8.848,21.125,5.3035,5.18624964522,5.24487482261,0.0,0.0
754886.66778,3389516.71877,194,18.9190804958,7.0,0.0,0.0,0.0,7.0,22.25,5.6685,5.32255388609,5.49552694305,6.1194124,19.7642353761
754928.79261,3389551.19101,176,19.4041803479,5.69999980927,0.0,0.0,0.0,5.975,19.875,5.2135,5.03047074851,5.12198537425,0.0,0.0
754937.79879,3389550.13238,177,21.3446006178,6.90000009537,0.0,0.0,0.0,6.741,18.375,5.029,4.8369180926,4.9329590463,6.7098447,23.3853586673
754953.864819,3389572.48643,160,21.829800307800003,7.80000019073,0.0,0.0,0.0,7.316,15.375,4.5,4.42448392474,4.46224196237,7.1397652,42.389562394500004
754948.0829979999,3389620.19995,131,25.710600614599997,8.10000038147,0.0,0.0,0.0,8.118,37.625,7.041,6.92138987998,6.98119493999,0.0,0.0
754919.261748,3389597.89021,138,23.770199716,7.69999980927,0.0,0.0,0.0,7.442,36.625,7.4245,6.8287918643,7.12664593215,0.0,0.0
754900.614106,3389581.73393,152,25.2254009246,7.5,0.0,0.0,0.0,8.456,35.875,7.289,6.75851083208,7.02375541604,0.0,0.0
754880.877706,3389565.69767,168,31.046599149800002,8.80000019073,0.0,0.0,0.0,8.116,53.0,8.4275,8.21472433323,8.32111216662,0.0,0.0
754623.7688609998,3389676.71916,117,63.0635976792,12.8999996185,0.0,0.0,0.0,15.095,465.375,25.051,24.3420182633,24.6965091317,0.0,0.0
754614.7906299998,3389679.46019,117,85.3784024716,14.0,0.0,0.0,0.0,15.095,465.375,25.051,24.3420182633,24.6965091317,14.083754,87.05242673240001
754578.922262,3389701.34134,106,67.4296021462,10.3999996185,0.0,0.0,0.0,10.973,153.0,14.342,13.957279475,14.1496397375,0.0,0.0
754727.9532859998,3389694.45174,112,24.2551997304,6.30000019073,0.0,0.0,0.0,6.078,23.25,5.6375,5.44084730672,5.53917365336,0.0,0.0
754774.087931,3389720.73417,100,40.2635991574,7.59999990463,0.0,0.0,0.0,8.45,90.75,10.998,10.7492552619,10.8736276309,6.676505,40.504629365
754803.5102089999,3389745.36264,95,53.361600637399995,8.80000019073,0.0,0.0,0.0,9.304,72.875,10.305,9.6326181188,9.9688090594,8.8120017,50.775240029
754840.623716,3389811.23209,88,30.0763994456,6.80000019073,0.0,0.0,0.0,7.636,30.75,6.9665,6.25716517287,6.61183258644,0.0,0.0
754786.3521549999,3389879.06885,72,35.4126006364,8.60000038147,0.0,0.0,0.0,9.22,77.125,10.0035,9.90952066892,9.95651033446,9.172191,34.2326598441
754726.657984,3389848.69198,78,17.463760078,5.40000009537,0.0,0.0,0.0,5.383,13.0,4.205,4.06842894513,4.13671447256,0.0,0.0
754688.4463319998,3389817.08231,86,25.710600614599997,6.09999990463,0.0,0.0,0.0,6.173,22.625,5.563,5.367219457,5.4651097285,0.0,0.0
754619.4738529999,3389796.08118,92,80.5274009704,10.8000001907,0.0,0.0,0.0,11.026,151.875,14.153,13.9058712728,14.0294356364,9.8867164,65.5505530106
754633.3891829998,3389814.74115,87,88.2889986038,13.6999998093,0.0,0.0,0.0,11.733,183.875,16.25,15.3008797554,15.7754398777,11.2838775,72.3489806424
754658.43955,3389831.38175,82,63.0635976792,11.0,0.0,0.0,0.0,9.231,86.375,10.6895,10.4869473955,10.5882236978,8.882591,57.2821961869
754668.503667,3389839.13178,80,67.9145991802,12.1,0.0,0.0,0.0,10.297,120.75,12.4675,12.3993417175,12.4334208587,8.8463435,61.8718433538
754687.711366,3389855.07868,77,84.4081997872,12.0,0.0,0.0,0.0,11.017,181.625,15.5105,15.2069764356,15.3587382178,9.476506,77.0551750371
754725.1961199999,3389884.10608,70,49.480599165,11.1000003815,0.0,0.0,0.0,10.632,73.5,10.375,9.6738361852,10.0244180926,10.1775628,50.775240029
754741.914385,3389896.91482,66,56.757199764199996,11.8,0.0,0.0,0.0,10.786,98.875,11.924,11.2201408184,11.5720704092,0.0,0.0
754757.824018,3389923.57264,64,48.5103994608,10.1000003815,0.0,0.0,0.0,11.216,133.125,13.9805,13.019217119,13.4998585595,7.77234,48.4122918276
754755.625342,3389929.46952,64,57.2423994542,13.3999996185,0.0,0.0,0.0,11.216,133.125,13.9805,13.019217119,13.4998585595,0.0,0.0
754747.3198809999,3389940.24851,62,52.391397952999995,12.1000003815,0.0,0.0,0.0,10.733,98.75,11.823,11.2130461982,11.5180230991,7.173212,55.9016994375
754761.4195929999,3389943.88427,61,64.03380036360001,14.1,0.0,0.0,0.0,12.266,192.875,16.7695,15.6708671487,16.2201835743,0.0,0.0
754739.9790819999,3389969.89728,52,70.825201273,12.6999998093,0.0,0.0,0.0,11.813,205.25,16.973,16.1657791819,16.5693895909,10.0452635,70.7106781187
754727.0607229999,3389964.49815,51,59.1827988624,9.65,0.0,0.0,0.0,10.845,163.375,15.2905,14.4227428259,14.8566214129,7.352704,58.6301969978
754704.316525,3389996.89548,42,65.4892027378,11.8999996185,0.0,0.0,0.0,11.231,242.125,18.515,17.5579931874,18.0364965937,9.481875,67.3145600892
754690.2718409998,3390011.99658,40,63.0635976792,12.3000001907,0.0,0.0,0.0,11.019,161.0,15.2825,14.3175265567,14.8000132784,8.294803,63.1219058648
754694.607792,3390090.80718,31,54.3308019638,10.6000003815,0.0,0.0,0.0,10.608,199.0,16.082,15.9177469952,15.9998734976,8.8958575,8.83883476483
754721.837792,3390096.30899,30,75.6763994694,14.5,0.0,0.0,0.0,14.122,382.25,22.81,22.0611834672,22.4355917336,0.0,0.0
754726.938378,3390101.01662,30,98.9614009858,15.1,0.0,0.0,0.0,14.122,382.25,22.81,22.0611834672,22.4355917336,0.0,0.0
754706.586491,3390113.77518,29,57.2423994542,13.1000003815,0.0,0.0,0.0,11.941,197.25,16.0975,15.8476023486,15.9725511743,0.0,0.0
754717.065901,3390123.27884,27,66.45939946179999,11.55,0.0,0.0,0.0,12.568,182.25,15.8005,15.2331187558,15.5168093779,0.0,0.0
