X,Y,treeID,dbh_cm_f,h_m_f,dbh_cm_mls,h_m_mls,cw_m_mls,h_m_tt,ca_m2,cw_avg_m,cw_pi_m,icw_m,h_m_tls,dbh_cm_tls
754803.5102089999,3389745.36264,103,53.361600637399995,8.80000019073,0.0,0.0,0.0,9.304,72.875,10.305,9.6326181188,9.9688090594,8.8412164,50.775240029
754633.3891829998,3389814.74115,95,88.2889986038,13.6999998093,0.0,0.0,0.0,11.733,183.875,16.25,15.3008797554,15.7754398777,10.68164,76.546554462
754658.43955,3389831.38175,90,63.0635976792,11.0,0.0,0.0,0.0,9.231,86.375,10.6895,10.4869473955,10.5882236978,8.9538634,57.9601155968
754668.503667,3389839.13178,88,67.9145991802,12.1,0.0,0.0,0.0,10.297,120.75,12.4675,12.3993417175,12.4334208587,8.888025,61.2372435696
754687.711366,3389855.07868,85,84.4081997872,12.0,0.0,0.0,0.0,11.017,180.125,15.414,15.1440507459,15.279025373,9.6122084,85.69568250500001
754725.1961199999,3389884.10608,78,49.480599165,11.1000003815,0.0,0.0,0.0,10.632,73.5,10.375,9.6738361852,10.0244180926,10.198915,48.4122918276
754741.914385,3389896.91482,74,56.757199764199996,11.8,0.0,0.0,0.0,10.786,107.25,12.072,11.6856724741,11.8788362371,10.1546062,53.033008589
754757.824018,3389923.57264,72,48.5103994608,10.1000003815,0.0,0.0,0.0,11.216,112.875,13.012,11.9881989311,12.5000994656,7.8800659,49.212549212599995
754755.625342,3389929.46952,72,57.2423994542,13.3999996185,0.0,0.0,0.0,11.216,112.875,13.012,11.9881989311,12.5000994656,10.3935167,62.5
754747.3198809999,3389940.24851,69,52.391397952999995,12.1000003815,0.0,0.0,0.0,10.733,72.5,10.0055,9.60780240187,9.80665120093,7.179655,57.2821961869
754761.4195929999,3389943.88427,67,64.03380036360001,14.1,0.0,0.0,0.0,12.266,183.875,15.843,15.3008797554,15.5719398777,10.832472,66.7317390752
754739.9790819999,3389969.89728,56,70.825201273,12.6999998093,0.0,0.0,0.0,11.813,193.5,16.482,15.6962368709,16.0891184354,10.0978306,70.156076002
754727.0607229999,3389964.49815,55,59.1827988624,9.65,0.0,0.0,0.0,10.845,148.875,14.3105,13.7678443201,14.03917216,7.359752,55.1985054145
754704.316525,3389996.89548,45,65.4892027378,11.8999996185,0.0,0.0,0.0,11.231,237.375,18.308,17.3849140617,17.8464570308,9.6681445,65.5505530106
754690.2718409998,3390011.99658,43,63.0635976792,12.3000001907,0.0,0.0,0.0,11.019,161.0,15.2825,14.3175265567,14.8000132784,8.268711,64.9519052838
754706.586491,3390113.77518,32,57.2423994542,13.1000003815,0.0,0.0,0.0,11.941,197.25,16.0975,15.8476023486,15.9725511743,10.6562159,50.775240029
754717.065901,3390123.27884,30,66.45939946179999,11.55,0.0,0.0,0.0,12.568,177.875,15.4505,15.0491688814,15.2498344407,10.75294,64.3476883812
754753.833575,3390141.55306,26,72.2805976868,13.1000003815,0.0,0.0,0.0,12.706,158.5,15.319,14.2059307277,14.7624653639,11.895694,62.5
754742.8442819999,3390143.97043,25,66.94440245620001,15.3999996185,0.0,0.0,0.0,13.26,308.5,22.2475,19.8190413378,21.0332706689,12.832998,69.5970545354
754758.61649,3390158.97411,24,57.2423994542,13.6000003815,0.0,0.0,0.0,11.855,141.5,14.1785,13.4224958774,13.8004979387,10.6688241,58.6301969978
754776.956596,3390160.21176,23,52.391397952999995,10.6000003815,0.0,0.0,0.0,9.116,121.875,13.7675,12.4569687129,13.1122343565,8.5256688,50.0
754826.251428,3390216.09481,13,58.2126021386,11.3000001907,0.0,0.0,0.0,12.008,198.25,18.5465,15.8877229251,17.2171114625,9.184725,72.3489806424
754836.7004729998,3390211.18428,13,56.27220273020001,13.1000003815,0.0,0.0,0.0,12.008,198.25,18.5465,15.8877229251,17.2171114625,11.1905294,60.5959982177
754841.0636129999,3390231.22609,11,55.30200004580001,12.5,0.0,0.0,0.0,10.791,148.875,14.3535,13.7678443201,14.06067216,10.0272072,57.2821961869
754849.756775,3390222.01384,11,44.6296006442,12.5,0.0,0.0,0.0,10.791,148.875,14.3535,13.7678443201,14.06067216,9.686518,47.5985819116
754857.481591,3390228.40565,12,64.03380036360001,10.6,0.0,0.0,0.0,11.47,239.5,20.65,17.4625562551,19.0562781276,8.4690576,67.3145600892
754860.179796,3390245.82894,8,55.7869970798,10.3999996185,0.0,0.0,0.0,10.949,236.875,18.217,17.3665948637,17.7917974318,10.2104222,58.6301969978
754864.6351619998,3390234.44708,12,53.361600637399995,12.6999998093,0.0,0.0,0.0,11.47,239.5,20.65,17.4625562551,19.0562781276,10.0182552,55.9016994375
754862.508462,3390263.32844,6,46.0850000382,9.0,0.0,0.0,0.0,10.008,138.125,13.903,13.2614558822,13.5822279411,8.847029,61.8718433538
754889.910964,3390275.08804,5,53.361600637399995,10.5,0.0,0.0,0.0,11.791,106.0,11.974,11.6173745632,11.7956872816,8.6036298,63.737743919900005
