X,Y,dbh_m_f,h_m_f,dbh_m_mls,h_m_mls,cw_m_mls,h_m_tt,ca_m2,MBG_Width,MBG_Length,treeID,cw_avg,cw_pi,icw,OBJECTID,Join_Count,TARGET_FID,Field1,X_1,Y_1,H,DBH
754251.089289000025019,3389061.858539999928325,0.325000000000000,7.700000000000000,0.424000000000000,6.980000000000000,9.000000000000000,7.522000000000000,61.250000000000000,8.321000000000000,9.657000000000000,262,8.989000000000001,8.830963827070001,8.909981913539999,1,1,0,95,754252.888685000012629,3389063.157569999806583,6.485828300000000,0.375000000000000
754219.000144000048749,3389035.233070000074804,0.274000000000000,5.700000000000000,0.360000000000000,5.410000000000000,8.100000000000000,5.528000000000000,43.250000000000000,7.071000000000000,8.515000000000001,270,7.793000000000000,7.420755373260000,7.606877686630000,2,0,1,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
754182.715186999994330,3389005.642459999769926,0.315000000000000,6.200000000000000,0.350000000000000,6.190000000000000,9.600000000000000,6.588000000000000,58.250000000000000,7.647000000000000,9.823000000000000,276,8.734999999999999,8.611980229940000,8.673490114970001,3,0,2,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
754136.122763999970630,3388966.805079999845475,0.307000000000000,7.300000000000000,0.300000000000000,7.220000000000000,8.800000000000001,7.626000000000000,59.875000000000000,8.222000000000000,9.823000000000000,289,9.022500000000001,8.731278127570000,8.876889063789999,4,0,3,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
754077.939157000044361,3388918.526329999789596,0.310000000000000,8.199999999999999,0.360000000000000,7.400000000000000,11.199999999999999,7.747000000000000,81.000000000000000,9.241000000000000,11.180000000000000,296,10.210500000000000,10.155412503899999,10.182956251900000,5,1,4,63,754077.512650000047870,3388917.786139999981970,7.084908500000000,0.375000000000000
754032.060586999985389,3388881.238189999945462,0.277000000000000,6.200000000000000,0.310000000000000,6.100000000000000,7.300000000000000,6.318000000000000,33.875000000000000,6.261000000000000,7.159000000000000,308,6.710000000000000,6.567418791120000,6.638709395560000,6,1,5,73,754030.819282999960706,3388879.035269999876618,6.305141600000000,0.318688719600000
753974.669353000004776,3388851.732629999984056,0.208000000000000,9.199999999999999,0.265000000000000,8.900000000000000,5.700000000000000,9.080000000000000,24.875000000000000,4.950000000000000,6.708000000000000,318,5.829000000000000,5.627773420750000,5.728386710370000,7,0,6,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
754000.953666000044905,3388874.872769999783486,0.150000000000000,6.300000000000000,0.190000000000000,6.750000000000000,3.700000000000000,6.761000000000000,11.750000000000000,3.795000000000000,4.272000000000000,311,4.033500000000000,3.867888913950000,3.950694456970000,8,0,7,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
753940.192522000055760,3388819.455490000080317,0.193000000000000,7.000000000000000,0.285000000000000,6.400000000000000,4.200000000000000,6.620000000000000,11.500000000000000,3.500000000000000,4.528000000000000,329,4.014000000000000,3.826519928660000,3.920259964330000,9,0,8,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
753936.738705000025220,3388801.799939999822527,0.170000000000000,4.500000000000000,0.220000000000000,5.100000000000000,5.600000000000000,5.320000000000000,20.875000000000000,4.802000000000000,6.083000000000000,331,5.442500000000000,5.155470443750000,5.298985221870000,10,0,9,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
753891.204824000014924,3388760.695590000133961,0.203000000000000,5.900000000000000,0.290000000000000,5.370000000000000,7.200000000000000,5.908000000000000,29.625000000000000,5.982000000000000,6.801000000000000,339,6.391500000000000,6.141638341090000,6.266569170550000,11,1,10,75,753891.250420999946073,3388759.877660000231117,5.147073000000000,0.265165042945000
753809.379659999976866,3388703.916799999773502,0.660000000000000,12.600000000000000,0.750000000000000,13.199999999999999,17.699999999999999,13.474000000000000,212.375000000000000,15.708000000000000,18.385000000000002,351,17.046500000000002,16.443973008800000,16.745236504400001,12,0,11,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
753746.585580999962986,3388615.431570000015199,0.541000000000000,10.699999999999999,0.630000000000000,10.100000000000000,11.900000000000000,10.390000000000001,78.250000000000000,9.125999999999999,12.093000000000000,356,10.609500000000001,9.981532666660000,10.295516333300000,13,0,12,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
753752.123463999945670,3388572.543839999940246,0.188000000000000,5.600000000000000,0.210000000000000,5.500000000000000,5.900000000000000,5.553000000000000,21.375000000000000,4.850000000000000,5.852000000000000,365,5.351000000000000,5.216847253730000,5.283923626860000,14,0,13,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
753753.827098999987356,3388524.218929999973625,0.183000000000000,6.400000000000000,0.270000000000000,6.400000000000000,8.500000000000000,6.514000000000000,52.375000000000000,7.500000000000000,8.901999999999999,375,8.201000000000001,8.166144815979999,8.183572407990001,15,0,14,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
753786.777325000031851,3388441.736000000033528,0.345000000000000,8.300000000000001,0.400000000000000,7.500000000000000,11.199999999999999,7.603000000000000,82.750000000000000,9.500000000000000,11.236000000000001,379,10.368000000000000,10.264529815200000,10.316264907600001,16,1,15,29,753786.232901999959722,3388441.213640000205487,7.067230800000000,0.414578098794000
